species,date_of_search,family,lon,lat,year,country
Leopardus geoffroyi,2021-05-04,Felidae,-67.284667,-46.890475,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.835315,-25.953463,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-51.167306,-30.008333,2014,BR
Leopardus geoffroyi,2021-05-04,Felidae,-55.566944,-30.060278,2014,BR
Leopardus geoffroyi,2021-05-04,Felidae,-53.466389,-31.528889,2014,BR
Leopardus geoffroyi,2021-05-04,Felidae,-52.835,-32.01,2010,BR
Leopardus geoffroyi,2021-05-04,Felidae,-51.572778,-30.666111,2014,BR
Leopardus geoffroyi,2021-05-04,Felidae,-51.167306,-30.008333,2014,BR
Leopardus geoffroyi,2021-05-04,Felidae,-54.686583,-30.229111,2012,BR
Leopardus geoffroyi,2021-05-04,Felidae,-52.354722,-30.185861,2010,BR
Leopardus geoffroyi,2021-05-04,Felidae,-57.172717,-28.53494,2014,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.172717,-28.53494,2014,AR
Leopardus geoffroyi,2021-05-04,Felidae,-54.145764,-34.421796,2018,UY
Leopardus geoffroyi,2021-05-04,Felidae,-54.225864,-34.530603,2018,UY
Leopardus geoffroyi,2021-05-04,Felidae,-59.135385,-31.800513,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.049297,-31.805477,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.17749,-28.533112,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.17749,-28.533112,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.17749,-28.533112,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.173456,-28.536053,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-68.024,-16.653,2019,BO
Leopardus geoffroyi,2021-05-04,Felidae,-68.024,-16.653,2018,BO
Leopardus geoffroyi,2021-05-04,Felidae,-68.025,-16.653,2019,BO
Leopardus geoffroyi,2021-05-04,Felidae,-58.037282,-32.522062,2019,UY
Leopardus geoffroyi,2021-05-04,Felidae,-58.037415,-32.521382,2019,UY
Leopardus geoffroyi,2021-05-04,Felidae,-65.478903,-31.375826,2009,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.199516,-28.545595,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.140144,-37.412931,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.314921,-22.555708,2015,PY
Leopardus geoffroyi,2021-05-04,Felidae,-57.179074,-28.547026,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.20448,-28.531342,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.204803,-28.539788,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.990768,-34.818981,2013,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.160991,-28.487158,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-72.639963,-50.826295,2019,CL
Leopardus geoffroyi,2021-05-04,Felidae,-59.8,-22.4,1977,PY
Leopardus geoffroyi,2021-05-04,Felidae,-60.321,-20.63333,1977,PY
