family,species,lon,lat,year,country
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.810767,6.08862,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus tigrinus,-73.810767,6.08862,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.800556,6.06972,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus tigrinus,-73.7925,6.04972,2016,CO
Felidae,Leopardus geoffroyi,-57.15723,-35.390309,2016,AR
Felidae,Leopardus geoffroyi,-59.641171,-33.737188,2015,AR
Felidae,Leopardus geoffroyi,-58.516667,-34.166667,NA,AR
Felidae,Leopardus geoffroyi,-58.516667,-34.166667,NA,AR
Felidae,Leopardus geoffroyi,-71.905518,-51.582258,2005,AR
Felidae,Leopardus tigrinus,-73.128472,5.868806,2013,CO
Felidae,Leopardus guttulus,-40.635833,-19.926111,2009,BR
Felidae,Leopardus guttulus,-42.133889,-19.790278,NA,BR
Felidae,Leopardus guttulus,-40.656944,-19.738889,2002,BR
Felidae,Leopardus guttulus,-40.600278,-19.935556,2001,BR
Felidae,Leopardus guttulus,-40.529722,-20.100556,1999,BR
Felidae,Leopardus guttulus,-40.600278,-19.935556,1998,BR
Felidae,Leopardus guttulus,-41.868333,-20.433333,1997,BR
Felidae,Leopardus guttulus,-40.072222,-19.391111,1995,BR
Felidae,Leopardus guttulus,-40.600278,-19.935556,1992,BR
