"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"51","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2025","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1979","09","09",NA,"Brasil","Rio Grande do Sul","Fazenda Bela Vista","-52.521900177002","-30.5438995361328",NA,NA,NA,NA,NA,"Encruzilhada do Sul","62084",NA,"auto",NA,NA,NA,NA,NA,NA
"52","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2026","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1979","09","07",NA,"Brasil","Rio Grande do Sul","Fazenda Bela Vista","-52.521900177002","-30.5438995361328",NA,NA,NA,NA,NA,"Encruzilhada do Sul","62084",NA,"auto",NA,NA,NA,NA,NA,NA
"53","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1792","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2008","01","30",NA,"Brasil","Rio Grande do Sul","Estrada Costa Gama 1436, Belém Velho","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,NA,"Porto Alegre","29946","Macho","auto",NA,NA,NA,NA,NA,NA
"54","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2074","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Fêmea","auto",NA,NA,NA,NA,NA,NA
"55","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2072","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Fêmea","auto",NA,NA,NA,NA,NA,NA
"56","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2076","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Macho","auto",NA,NA,NA,NA,NA,NA
"57","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2075","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1983","05","23",NA,"Brasil","Rio Grande do Sul","Zoológico","-51.1483001708984","-29.8246994018555",NA,NA,NA,NA,NA,"Sapucaia do Sul","7291","Macho","auto",NA,NA,NA,NA,NA,NA
"58","2015-03-30 16:48:18-03","MCN-PUC-MINAS","MCN-M","MCN-M 107","S","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1989","01","08",NA,"Brasil","MG","Distrito de Tejuco","-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,NA,"Januária","148972","M","auto","Pele: ok - aberta Crânio Pós-crânio",NA,NA,NA,NA,NA
"59","2007-10-08 14:05:02-03","UEL","MZUEL-MAMIFEROS","296","S","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Sabrina F. Laurito",NA,"2000","01","24",NA,"Brasil","PR",NA,"-50.7411","-23.7275",NA,NA,NA,NA,"1","São Jerônimo da Serra","30511",NA,"auto",NA,"(Schreber, 1775)","2007","05","29",NA
"60","2019-10-03 11:21:45-03","MBML","MBML-MAMIFEROS","1771","PreservedSpecimen","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","M.G.Hoffmann","Vanir Antônio Margon",NA,"1992","01","24",NA,"Brasil","Espírito Santo","Vinte e Cinco de Julho","-40.600278","-19.935556","40º36'01W","19º56'08S","655",NA,NA,"Santa Teresa",NA,"Macho",NA,NA,NA,NA,NA,NA,"655"
